pair_id,reference_file,search_file,center_x,center_y,patch_size,ref_size_px,search_size_px,pitch_x,pitch_y,line_width,via_diameter,reference_rotation_deg,search_rotation_deg,reference_scale_factor,search_scale_factor,reference_drift_x,reference_drift_y,search_drift_x,search_drift_y
0,ref_000.png,search_000.png,350.02,304.9,100.0,1000,1000,14.192,11.511,3.717,5.092,-0.191,2.094,1.0076,0.9693,-0.286,-0.865,1.298,-1.803
1,ref_001.png,search_001.png,784.69,264.81,100.0,1000,1000,9.915,10.881,2.94,3.678,-0.889,-2.189,1.0078,0.946,-0.544,0.867,-2.447,1.661
2,ref_002.png,search_002.png,291.96,792.2,100.0,1000,1000,9.645,11.787,2.923,4.257,0.009,0.438,1.0072,0.9739,-0.122,0.973,0.833,-0.257
3,ref_003.png,search_003.png,643.54,787.15,100.0,1000,1000,10.219,10.934,3.046,4.317,-0.652,3.356,0.9829,0.9538,-0.146,-0.64,-0.071,-0.819
4,ref_004.png,search_004.png,894.36,635.94,100.0,1000,1000,13.1,10.171,2.933,4.632,-1.105,3.491,1.0124,0.9644,-0.335,-0.202,-1.328,-0.135
5,ref_005.png,search_005.png,683.79,200.05,100.0,1000,1000,10.733,11.897,3.716,5.604,0.175,-1.903,1.0183,0.9348,-0.824,0.15,-1.741,-0.513
6,ref_006.png,search_006.png,554.16,253.76,100.0,1000,1000,15.135,11.001,2.581,3.378,0.473,2.469,1.0065,0.9519,0.233,0.423,2.83,-0.783
7,ref_007.png,search_007.png,92.28,318.4,100.0,1000,1000,12.208,10.89,3.376,5.262,0.25,-0.388,1.017,1.0082,0.746,-0.318,2.386,0.483
8,ref_008.png,search_008.png,598.43,811.42,100.0,1000,1000,9.24,11.88,3.169,3.281,-0.673,-1.489,0.9806,0.9504,0.049,0.184,-2.013,0.756
9,ref_009.png,search_009.png,513.18,139.78,100.0,1000,1000,8.43,14.835,3.329,3.818,0.576,-0.67,1.0057,1.0434,-0.249,-0.069,-2.709,1.302
10,ref_010.png,search_010.png,484.25,58.55,100.0,1000,1000,15.607,9.787,3.118,4.99,-0.703,-0.072,1.0024,1.0411,-0.389,0.576,2.917,-1.64
11,ref_011.png,search_011.png,476.03,821.46,100.0,1000,1000,10.162,11.56,3.56,3.955,0.259,3.894,1.0173,1.0613,0.83,0.54,1.633,-2.999
12,ref_012.png,search_012.png,764.31,565.33,100.0,1000,1000,14.443,15.291,3.811,3.097,1.397,1.643,0.9822,1.0073,-0.216,-0.676,-2.505,-0.907
13,ref_013.png,search_013.png,141.61,487.83,100.0,1000,1000,12.741,8.216,3.581,3.141,-0.293,-1.941,0.9911,1.0424,-0.568,-0.606,2.538,-1.592
14,ref_014.png,search_014.png,589.82,777.11,100.0,1000,1000,14.378,11.784,3.057,4.423,-1.365,-1.486,0.9802,0.9985,-0.363,0.816,0.116,0.645
15,ref_015.png,search_015.png,842.16,423.11,100.0,1000,1000,8.202,11.431,2.114,4.362,1.435,2.389,0.9817,1.015,-0.672,-0.529,1.43,-1.267
16,ref_016.png,search_016.png,145.73,899.73,100.0,1000,1000,9.455,15.739,3.992,3.908,1.496,-1.495,0.9856,1.0344,0.77,-0.751,-2.214,2.039
17,ref_017.png,search_017.png,321.04,517.8,100.0,1000,1000,13.831,10.945,2.303,4.917,-0.689,3.927,1.0192,0.9339,-0.278,-0.617,-2.129,-0.255
18,ref_018.png,search_018.png,532.31,636.45,100.0,1000,1000,12.652,9.543,2.766,4.71,0.433,3.07,1.0113,1.0627,-0.003,0.32,0.965,2.798
19,ref_019.png,search_019.png,212.92,149.75,100.0,1000,1000,13.735,11.888,2.668,3.3,1.328,2.243,0.9808,0.933,-0.08,0.227,0.636,-0.268
20,ref_020.png,search_020.png,146.02,902.86,100.0,1000,1000,12.38,14.585,2.997,5.531,0.047,-3.542,1.0072,1.0067,0.929,-0.645,2.304,1.695
21,ref_021.png,search_021.png,293.71,503.32,100.0,1000,1000,10.187,15.977,2.22,5.839,1.222,-3.776,0.9949,0.9635,0.324,-0.919,2.426,1.505
22,ref_022.png,search_022.png,571.87,172.16,100.0,1000,1000,12.736,12.117,3.733,4.783,0.639,1.703,1.0001,0.9626,0.112,-0.768,2.341,2.251
23,ref_023.png,search_023.png,637.92,286.97,100.0,1000,1000,14.754,11.874,2.661,3.853,-0.227,-3.581,0.9914,1.0234,-0.316,-0.561,-0.72,2.122
24,ref_024.png,search_024.png,220.64,177.86,100.0,1000,1000,13.151,13.059,3.93,5.756,-0.054,-0.21,1.0089,0.992,-0.606,-0.398,1.417,2.867
25,ref_025.png,search_025.png,115.66,579.73,100.0,1000,1000,15.808,14.559,3.237,4.282,-1.095,0.342,0.9812,0.9412,-0.897,0.492,-2.182,0.474
26,ref_026.png,search_026.png,900.83,768.15,100.0,1000,1000,13.685,12.03,3.542,3.991,-1.189,-0.922,1.0088,1.0237,0.035,-0.557,0.55,2.381
27,ref_027.png,search_027.png,152.04,363.11,100.0,1000,1000,14.275,9.429,3.613,5.404,0.148,2.298,1.0168,1.0064,-0.551,-0.538,-1.646,0.586
28,ref_028.png,search_028.png,505.3,162.43,100.0,1000,1000,15.03,12.411,2.108,5.314,-1.143,-0.574,1.0142,0.9395,0.095,-0.561,-2.04,0.011
29,ref_029.png,search_029.png,692.37,658.31,100.0,1000,1000,13.374,15.953,2.212,4.151,0.409,2.512,0.9846,1.0079,-0.235,0.179,1.17,1.601
